0,1,2,3,4,5,6,7,8
코로나  감기 증상,오늘 학교가 추웠어서 그런지 지금 몸에 힘이 없고 머리가 조금 아프고 목도 따갑고 기침도 조금 하는데 어떡하나요 ,호흡기내과,발열 몸살기운 없는데 기침,발열은 없고 몸살기운 없고 몸은 일상이랑 똑같은데 기침나고 목이 아프고 그런데 코로나 아니겠죠    원래 기관지 약해서 목이 잘 붓는데    ,호흡기내과,백신접종 뇌출혈 관련,저희 어머니    대 여성 이 백신접종을 할려고하는데  뇌출혈이 예전에 있으셨는데 백신접종해도 무방한가요  ,호흡기내과
헛기침  ,제가    년전에 감기  독감 을 걸렸어서 좀 열나고 좀 심각할정도는 아닌데 심하게 걸렸던 적이 있는데 그 이후로 뜨거운 국이나 뜨거운차 뜨거운걸 먹을때마다 제 의사와 상관없이 헛기침이 나오더라구요 한번도 안빼먹고 그리고 갑자기 목에서 재채기 나올것같은 느낌이 들어 또 헛기침한번 해주구요 이거 병원에 안가도 될 증상이죠  학교에서 안내장 날라왔는데 적어야하나 싶엉서요,호흡기내과,건강검진 백신접종 결과서,입학용으로 제출해야 합니다     건강검진   B형 간염검사와 폐결핵 X ray     코로나   백신접종 결과서   경북 영주시에 사는데  보건소에서 가능한지  아니면 병원에가서 검사받고 결과서 받아야 할까요 ,호흡기내과,알레르기 비염 수술 안하면 ,알레르기 비염이 있는데 수술 안하면 어떻게 되나요 ,호흡기내과
폐기능검사 결과가 정상인지 궁금해요,FVC L        FVC      FEV        FEV        초율          PEF        정상인가요  흡연을 많이해서 걱정되네요  ,호흡기내과,건강검진 결과지 봐 주실분 계실까요 ,신랑이   년생  지난달에 건강검진을 했고 검진결과지를 메일로 받았습니다   폐질환 의심  담낭결석이라고 의사진료를 받아보라고 명시되어있는데 신랑은 별거 아니라며 병원가기를 거부하고 있습니다   폐질환  담낭결석 치료안해도 되는 정도 맞나요  답답하네요  ,호흡기내과,심장판막 수술 했는데 백신접종 괜찮을까요 ,이번에 백신접종 예약하려 하는데  살인가  살쯤에 심장판막 수술 했다는것 때문에 부작용이 생기지 않을까 걱정 됩니다   지금   대 후반이고 심장수술이후    년에 한번씩 정기검진을 받았고  단 한번도 이것 때문에 문제가 된적은 없습니다   다만  이번에 접종 받으려는 백신이 아스트라젠인가  머시긴데  그 백신이 양도 많고 좀 독해서 맞다보면 힘들거라는 소리를 들었는데 걱정되네요   접종 받아도 괜찮을까요   ,호흡기내과
침삼킬때 목아픔,어제 혼자 집에서 노래 엄청 부르고 어제 밤부터 침삼킬때 목이 조금 따끔따끔 하더니 오늘 아침부터 조금 심해졌어요    뭐 먹을때는 안그러는데 그냥 있다가 삼키면 아프고 하품할때도 아파요    오전보다는 나아졌는데 그래도 아직 조금 따끔따끔한데 내일 개학이라 학교가야하는데 자고일어나면 열이 날까봐    혹시 열이 날수 있을까요      그리고 열 나는거 방지해서 자기전에 콜대원 기침 인후통 가래 파란색깔 먹고 잘건데 그러면 목도 좀 괜찮아지고 열도 안날까요          급해요    내공     걸어요     빨리 도와주세요    ,호흡기내과,폐렴 주사 다시 맞아도 되나요 ,저   년생인데 어릴 때 폐구균 주사는 다 맞긴 했는데 지금 주사 또 맞아도 되나요 ,호흡기내과,천식 흡입기 동네 내과 처방가능하나요   ,대학병원에서 천식 진단을 받고 천식이 많이 심하진 않아서 흡입기 사용을 추적검사하면서 고려해보자고 하셨는데 코로나 때문에 호흡기 내과를 갈 수 없는 상황이 되었습니다 최근 천식 증상이 심해져서 그러는데 내과에서 이 상황을 말씀드리면 흡입기를 처방받을 수 있을까요 ,호흡기내과
잘때 산소포화도가    정도가 나와요 괜찮은건가요 ,제가 한달전에 갤럭시 워치를 구매했는데 잘때 합쳐서  분정도 산소포화도가 정상보다 떨어지더라구요 평상시에 호흡이 가쁘다던가 빈혈은 없는데 괜찮은 걸까요 ,호흡기내과,기침감기에 위장내시경 가능한가요    ,지금 콧물 기침감기인데 위장내시경 받아도 상관없나요      미리 예약해놨는데 아이들한테 감기가 옮아서 기침이 너무 심해서요   ,호흡기내과,오른쪽 가슴 찌릿한 통증,증상은 한달 쫌 넘게 지났고  계속 찌릿한게 불편하다 보니 얼마전에 개인병원에 갔는데 의사 쌤한테 물어보니 제가 살을뺄겸 헬스를 하다보니 근육에 조금 문제가 있는거같다 하셔서 x ray도 찍어봣는데 아무 이상도 없었습니다  그래서 근 이완제 외에 약 처방 받고 집에 와서    일 정도 약을 복용했는데도 똑같아서 질문드립니다    숨쉬는데도 저어어언혀  이상이없고 생활하는데 이 찌릿하다가 안찌릿하다가 생활에 불편한 정도라  제 생각에는 요즘들어 소화가 잘안되서 그런지 트름이 자주 나오고 그래서 소화기관에 문제가 있지 않나  싶습니다  오히려 운동할때는 트름이 잘나오고 소화가 잘되서 그런지 운동할때 만큼은 오히려 정상입니다   큰병원에 가서 진료나 건강검진을 다시 받아야 할꺼 같은데 어떻게 하면 좋을까요   답변 부탁드립니다   내공 많이 걸게요   ,호흡기내과
코로나 코로나,오늘 엄마가 코로나 확진판정을 받았는데 저는 학생이거든요  근데 제가 밀접접촉자로 되서 pcr 검사를 받을 수 있는 건가요 ,호흡기내과,담이 자주 결리는 이유요 ,앉아있거나 약간 구부정한 상태에서 기침을 하다보면 가슴이나 배쪽에 담이결리는일이 많아서 기침 할때는 몸을 펴고 합니다  특히 배쪽은 담들었을때는 혹같이 몽우리가 만져집니다  풀리면 없어지고요    요즘들어 온몸에 여기저기 조금만 잘못 움직여도 그러네요    왜그러는건가요  병원에 가봐야 될까요 ,호흡기내과,  살 뇌경색 및 심장수술 청년 코로나 백신 관련 문의,현재   살 청년입니다   고등학교  학년때 뇌경색이 왔는데 다행히 생활에 영향을 줄 정도는 아닙니다  원인으로 심장 검사결과 난원공개존증으로 심장 수술을 받았습니다  수술한지  월이면 만 년이 되고  현재는 아스피린을  주일에 한번 정도 복요하는 정도입니다  코로나   백신 접종예약이 다가오는데 접종을 해도 되는지 몹시 걱정이 됩니다  뇌경색과 심장수술을 같이 경험한 사례가 적어 지식인에 글을 남깁니다  코로나   백신접종 해도 괜찮을까요   ,호흡기내과
자꾸 기침이 나와요,기침은 한  일 전 부터 계속 나왔는데 밀접접촉자여서 이틀 전에 코로나 검사 받았는데 음성은 나왔어요  근데 계속 목이 간질 거리면서 기침이 나오려고 해요  다른 증상은 없고요  이거 뭘까요  ,호흡기내과,C형간염 앓고지나간듯 바이러스활동안함,C형간염이 있긴있는데 앓고지나간듯하다고   년가까이 피검사해도 바이러스가 활동을 안한다고 의사선생님이 말씀하셨는데   간수치도 항상 정상이구요 C형간염 치료제가 나온걸로아는데 저같은 경우는 앓고지나갔으면 지금상태면 병원가서 치료를받아야 하는건지 아닌지 궁굼하네요,호흡기내과,화이자 백신맞은후 고주파관리받아도 괜찮나요 ,화이자백신맞은지 일주일 지났는데 고주파피부관리받아도 상관없을까요 ,호흡기내과
가슴이 답답하고 기침나올때,숨쉴때 약간 답답한느낌이 들어서 기침을 한번하면 괜찮아짐니다 어제부터 계속 반복적으로 답답함을 느끼고 기침을 하는데 어떤증상들을 의심할수 있을까요 ,호흡기내과,서울대병원 호흡기내과 진료예약,서울대 호흡기내과 진료예약을 해서 진료를 보려고 하는데 세부 전공이 진료 보는데 무슨 차이가 있나요 ,호흡기내과,소화불량에 시달리고 있습니다 일주일에 한번씩 체하는것 같아요 배를 부풀리면 위에서 꾸룩 꾸루루룩 소리가 나요   소화제 한알로는 쉽게 내려가지,소화불량에 시달리고 있습니다 일주일에 한번씩 체하는것 같아요 배를 부풀리면 위에서 꾸룩 꾸루루룩 소리가 나요   소화제 한알로는 쉽게 내려가지 않고 숨쉬기가 힘들어 잠도 잘 못잡니다 배를 부풀렸다 내뱉을때 소리나는 이유가 음식물이 있어서인가요  특히 여름철에 소화불량이 심하다고 느껴지는데 이유가 있을까요 식습관 조절을 잘하다가 한번씩 체하게 되니 너무 힘이드네요    평생 이렇게 살아야하는건지  ,호흡기내과
격리 해제됐는데 기침,오늘 격리해제 되어서 아침에 집 나가기 전 자가진단키트 해보니  음성 나왔어요  근데 이게 휴우증인지  격리할때도 괜찮았는데 어제 밤부터 목이 근질근질하더니 잔기침이 계속 나오네요  음성 나와서 괜찮긴 하죠   이제 밖에 나갈건데 좀 걱정돼서요,호흡기내과,백신  차 화이자 감기,지금 감기걸렸는데  차 내일맞는데   감기걸리면 백신 못맞나요  ,호흡기내과,잠복결핵약 복용중인데 알레르기약 먹어도 되나요  ,잠복결핵 아이나  개월째 먹고 있는데요   몸에 두드러기가 최근에 생겨서 피부과에서 두드러기 약 베레스틴정  알레즈트정  레바진정 을 받았는데 먹어도 되나요   처방받은 피부과가 휴가 연락이 안되서요,호흡기내과
오빠 코로나   일차,오빠가 코로나 걸린 지   일 지났는데 아직 기침하고 목이 아프다고 해요 마스크도 안 끼고 돌아다니고 전 걸린지  일 됐는데 전염이 될까요  ,호흡기내과,생리 중에 테라플루 먹어도 되나요 ,지금 생리 이틀째고 양도 많은데  목통증 침삼길때   기침 증상과 미열이 있어서  테라플루 나이트타임  먹고 자려고 하는데 괜찮을까요 ,호흡기내과,코로나 공기감염,천장 뜷린 독서실 내에서 마스크 벗고 공부중입니다   코로나 공기감염 되나요 ,호흡기내과
폐렴인가요 ,며칠전에 갑자기 고열이 나고 두통에 근육통도 있고 목이 엄청 아팠어요 한 번씩 가래에서 피도 나구요 그러다 감기약 먹으니 다른 건 다 나았는데 아직 목이 따갑고 아침에 일어나서만 가래에서 피가 나요 이거 폐렴인가요     폐렴이면 엄청 위험한가요   치료는 될까요,호흡기내과,우한폐렴 부스터샷 접종 문의,안녕하세요    차 접종 후   일이 지나 부스터샷 접종 안내 문자를 받았습니다   우한폐렴 백신 접종 이후 몸에 이상을 느끼고 있어 부스터샷 접종이 꺼려지나 정부에서 강행하는 백신패스 때문에 어쩔 수 없이 맞아야 한다는 건 알고 있는데요   그렇다면 부스터샷은 언제까지 접종을 완료해야 하나요   지금 접종 상세정보에 D    이라고 뜨는데  백신패스 연장 가능 시점이 D     인지 D     인지 궁금합니다   번거로우시겠지만 답변 부탁 드립니다 ,호흡기내과,폐렴을 앓았었는데 백신 맞아도 되나요 ,안녕하세요 저는 백신 예약을 앞 둔   대입니다   달 전에 폐렴에 심하게 걸려서 대학 병원에서 한 달 동안 통원 치료했고  주 동안 항생제 먹고 나았습니다  한 달 전까지는 숨이 차면 폐에서 색색거리는 느낌이 있었는데 요즘은 괜찮습니다   참고로 코로나 때문에 폐렴에 걸렸던 건 아닙니다   저 같은 상황에서 백신을 맞으면 예상되는 부작용이 있나요  백신 맞는 걸 좀 더 미루는 게 좋을까요 ,호흡기내과
어디가 문제인걸까요,저번주부터 감기를 앓기 시작했습니다 미열과 콧물 두통과 어지럼증 증상이었습니다 혹시나해서 코로나 자가키트를 사용했는데 음성이 나왔습니다 그 뒤로 약을 복용하는데도 몸이 낫지않아서 병원에 갔고 병원에서 신속항원검사 결과 음성이 나왔습니다 병원에서 약을 받아 먹기 시작한뒤로 청각이 예민해지기 시작했는데 제가 원래 먹던 정신과약이있어서 먹으며 버텼습니다 그런데 이틀정도 병원약을 복용했는데도 잠만 오고 낫질 않아서 병원약 대신 약국에서 파는 종합감기약과 게보린을 먹었습니다 좀 낫는듯 하더니 약효가 다할때쯤엔 다시 미열과 두통 어지럼증이 심해졌습니다 심지어 청각은 점점 예민해졌고 발작까지 했습니다 글을 읽고 쓰는것도 버겁고 이게 코로나인지 감기인지 아니면 뇌쪽에 문제가 있는건지 모르겠습니다 물론 이 글만으로는 정확한 병명을 아실 수 없으시겠지만 제가 어떤 병원으로 가야할지  증상만 봤을때 대략 이런 병일수도 있겠다 정도만 알려주시면 감사하겠습니다,호흡기내과,지인이 코로나 확진자  ,지인이 코로나 확진이 되어서 현재 병원에서 치료 중입니다   상태는 폐가 굳어간다고 합니다   폐가 굳으면 생존이 힘들까요 ,호흡기내과,신물이 조금있어도 왜   기침이나요 ,왜 기침이나나요    속도 너무 안좋아요   지금 나아지고 있나요  대변은 하루에  번씩나오는데 적게 나와요   ,호흡기내과
인후통 질문,열은 없고 침 삼 킬때 조금 따끔따끔한데 물이나 음식 먹을 땐 괜찮거든요 코로나 아니겠죺      이것도 인후통인가요    ,호흡기내과,폐렴구균 백신이 궁금합니다 ,일단 저는   년생입니다  폐렴구균백신을 맞으려는데 예방접종길잡이 사이트 상에선 위험군에 속하지 않습니다  이런 경우에 맞아도 되나요  맞는다면   가와   가 중에서 어느 것이 좋을까요 ,호흡기내과,얼마전부터 숨쉬기 힘들어요, 일전부터 가끔씩 가슴이 답답하고 숨쉬기가 힘들어요 완전 헐떡이는건 아니고 그냥 숨쉴때 답답해요  요근래에 걱정이 많았는데 그것때문일까요 ,호흡기내과
코로나 확진인데 인후통 언제까지 갈까요,증상 나타난지  일짼데 인후통이 오히려 더 심해지기만 하고 나을 기미가 안보이네요 밥먹는거 자체가 고통이고 침을 못삼키겠어요 물 마시는데 목이 타오르는 고통을 감내하며 한모금한모금 마셔야하고,호흡기내과,이런게 배꼽 육아종인가요  작년   살   월쯤 남친이 배꼽이 왜이러냐  돼게특이하네  이래서 태어나서 배꼽안 을 처음 봤습니다  근데 몇일전부,이런게 배꼽 육아종인가요  작년   살   월쯤 남친이 배꼽이 왜이러냐  돼게특이하네  이래서 태어나서 배꼽안 을 처음 봤습니다  근데 몇일전부터 신경쓰여서 몇번 봤는데 그뒤로 배꼽주변이 가렵드라구요  오늘 처음으로보니    꼭  고동똥 같이 징그럽네요   이게몬가요 ,호흡기내과,식사 후 가슴답답 숨쉬기 힘듬,몇일 전 부터 물빼고 뭐만 들어가면 가슴이 답답하면서 숨을 완전 크게 들이마셔야 숨쉰거 같고 너무 답답하네요 스트레스 받으면 또 그렇고 왜 그렇죠  이런건 어디 병원가야 하나요   ,호흡기내과
숨이 안쉬어져요,올해   살인데요 원래도 가끔 숨쉴때 답답한느낌이 있었는데 어제 혼자 걷는도중에 뛰지도않았는데 숨이 안쉬어졌어요 완전 끝까지 들이마쉬고 내뱉어야 쉬어지는 정도   진짜 쓰러질거같아서 음료수사마셨더니 진정되더라구요 뭐죠   제가 전에 심박수검사햇을때     인가 나왔는데 그거때문인가요,호흡기내과,기침이 계속 올라와요,옛날부터 기침이 날 때는 잘 멈추지 않았습니다  몇일 전에는 몸에 기력이 떨어지고 입맛도 없었습니다  그러더니 몇일 후 기침이 계속 나기시작하고 기침을 조금 참으면 목 안에서 기침이 나올려고 간질간질합니다  특히 차가운 것을 먹으면 더 기침이 나는데 이건 또 왜 그럴까요 ,호흡기내과,폐 CT 결과지 해석부탁드립니다,CT해석좀 해주십시요  ,호흡기내과
코로나 같은데 음성판정이 나왔어요  ,안녕하세요   살 남자입니다    일 전  월   일 일요일 아침에 일어났는데 춥게 자서 그런지 목안에 이물감도 있고 기침이 났어요 그날 속도 메스껍고 두통도 엄청 심하고 어지럽고 기침도 나고 여러 증상이 굉장히 심했습니다  그 전에 외출은  월   일 화요일이 마지막 외출이었습니다   그 다음 날 월요일 증상들은 좀 나아졌는데 누워있다가 일어나면 숨이 엄청 가파르고 잘 안쉬어졌어요  조금 지나면 나아지긴 한데 숨을 얕게 들이쉬는 건 괜찮은데 깊게 들이쉬면 기침이 나는 게 모래 운동장에서 놀고 흙먼지 많이 들이마셨을 때 느낌과 비슷하더라고요  그 다음 날 화요일에도 비슷한 증상이길래 코로나인가 의심이 들어서 근처 병원에서 신속항원검사를 받았고 음성이 나왔습니다   그 이후로  일이 지난 지금 다른 증상들은 없고 약간의 기침과 숨을 깊게 못들이쉬는 약간의 호흡곤란 증상만 있습니다  그런데 일반 목감기 같은 경우에는 호흡곤란같은 증상은 없는 걸로 아는데 코로나인 건가요  제 증상이 폐렴의 증상과 유사한 것 같은데 별도의 치료 없이 그냥 자연치유될 때 까지 기다려도 괜찮은 건가요 ,호흡기내과,코로나 백신주사 맞은 수 항체가 제대로 생겼는지 확인하는 방법,항체 생성여부를 알려면 현재 어떻게 해야 알 수 있나요    검사는 어디서   대략적인 검사법은  피검사  침검사  콧물검사   검사후 결과나오는데 까지 걸리는 시간은   궁금하여 문의 드립니다,호흡기내과,동생이 폐렴 인데,동생이 폐렴인데 같이 뭐 먹고 쓰고하면 저도 폐렴 걸릴 수도 있나요   ,호흡기내과
이거 호흡곤란 인가요   ,제 동생 친구가 코로나에 감염되서 동생도 자가격리 하고 있었어요 근데 목요일 저녁에 약 먹고 일찍 잤는데 일어나보니까 목도 마른 느낌이어서 자가진단키트로 검사를 했어요 원래 가슴이 쿵쾅되고 두근거림이 크게 없었는데 자가진단 키트 하면서 혹시나 코로나 일까 두려워서 그런디 갑자기 심장이 두근두근 하더라고요   잘때도 너무 불안해서 눈물 나오고 심장도 목요일 저녁에 쿵쿵 뛰어서 잠도 세시간 자고 깨고 이랬네요     지금도 가슴이 좀 답답하고 쿵쿵 대는  이거 호흡곤란 인가요   원래 이런적이 많이 넚었어요    숨쉬기도 답답하고,호흡기내과,백신 접종 후 감기증상,제가 백신 접종을한지  일이 지났는데도 감기증상이 아직도남아있어서 불안하네요 병원을가야하나요 백신 접종  일후부터 목이 많이 아팠고 약국가서 약먹고 이러다보니까 어느정도 괜찮아졌는데 문제는 기침을 좀 많이 해요 목이 간질간질한 느낌이 계속 들고 기침을 하는거같아요 점점 나아지는거 같은데 코도 막히고 가래도 있는거같고 저번주 토요일에는 머리가 하루종일 아프고 어지러워서 계속 누워있었어요 지금은 괜찮은데 단순 감기가 온걸까요 아직까지도 아침에 일어나면 목이 조금 아프고 근데 바로 괜찮아지기는해요 코도 점점 괜찮아지기는하는거같은데 괜찮겠죠   이거 백신 부작용인가요 어디가 크게 문제있는건아니겠죠  ,호흡기내과,결핵성흉막염 흉수 전염되나요 ,아는분이 결핵성흉막염환자이고 흉곽배액관으로 배액중인데 그 배액액을 만졌습니다  배액액이 관 옆 피부로 oozing되어 자주 접촉했는데  결핵전파가능성이 있을까요  저희집에서 며칠 계시다가셔서 걱정이 됩니다,호흡기내과
코로나후유증,가슴답답숨참호흡곤란힘빠짐  이걸다겪고잇는데  저같은사람있나요   폐심전도가정상인데  검사멀할까요    개월뒤면사라질까요 ,호흡기내과,백신 접종후  일 비뇨기과 약복용,비뇨기과에서 발기가 잘안되 카마라필  약을 처방받았는데요  일전에 화이자  차 맞았는데  약복용해도 될까요   후유증 아픈건  도 없습니다   오늘,호흡기내과,코로나 검사로 독감도 진단 나올 수 있나요 ,아니면 독감검사는 따로 해야하나요 ,호흡기내과
코로나 확진 후 격리해제 ,친구가 코로나 확진 후 내일 격리해제됩니다  그런데 아직 기침  콧물 증상이 안멈췄습니다  밖으로 돌아다녀도 괜찮은걸까요  그리고 친구가 너무 심심했다고 만나자는데   솔직히 전염될까 무섭습니다 ,호흡기내과,천식 헌혈,제가 지금   살인데 초등학생때 천식이있었는데    년전에 마지막으로 병원가고 그이후로 병원간적도없고 천식 증상도 없고 약먹은적도 없는데 헌혈해도 되나요 ,호흡기내과,목감기  ,저번주 금요일부터 목이 아프고 기침 가래가 나오는데 목감기일까요 ,호흡기내과
코로나 오미크론,코로나 또는 오미크론 양성자와 같은 공간에 오래있어도 전염되나요 ,호흡기내과,백신패스 예외인정 문의,안녕하세요    년 추석에 모더나 백신  차 접종 후 가슴통증  호흡곤란으로 대학병원 응급실 다녀온 내역이 있습니다   당시 피검사  심전도 검사  흉부X ray 검사 후 이상없다는 소견 받고 더 자세한 검사를 위해서는  심장 초음파 촬영이 필요하다고 얘기했습니다  이후 응급실 나와서 추석연휴 연차  일 내내 통증 심하여  누워만 있다가 회사출근했고  이후 한두달 동안 내내 힘들었던 기억입니다   이후에 금전적으로 힘든 상황이라 심장초음파 사진 찍을 여력이 없어 진행하지 못하였습니다   백신  차추가 접종하게되면 가슴통증과 호흡곤란증상 걱정되어 미접종한 채 지내고 있는데  이런경우에는 앞으로 쭉 예외인정 받기 힘든건가요  ,호흡기내과,코로나 증상인가요 ,설사나 열은 없는데 콧물이 많이 나고 기침하면 가래나옵니다  감기기운이 좀 있는거같긴 한데 목감기인가요 ,호흡기내과
코로나증상,이틀전 편도염과 두통 어제 편도염 오늘 편도염 인후염 어제 자가키트 검사로 음성 확인했는데 양성으로 바뀌거나 양성인데 음성으로 나온 확률 높은가요 ,호흡기내과,감기약 같이 먹어도 되나요 ,친구가 먹던약인데 같이 먹어도되나요 ,호흡기내과,화이자 접종 전 음주,오늘 오후에 접종 하는데 전 날 술을 좀 먹었습니다 숙취나 힘든 부분은 없은 없으니 괜찮을까요    ,호흡기내과
코로나 완치후 마른 기침이 지속 되네요, 월 말에 코로나 델타 완치가 되었지만 약한 마른 기침이 계속 남아 있었습니다   그런데 지난주 저와 회의를 하루종일 한 직원이 그날 저녁 코로나 오미크론 확진되었고 저도 인후통과 기침이 좀 더 심해진 느낌입니다   코로나 확진 완치자는 PCR 검사시 양성이 나올수있다고해서 다시 PCR검사를 해볼수가 없을거 같은데 재감염일까요   이경우엔 어떻게 해야 할지 모르겠네요  자가격리를 하려면 진짜 재감염인지를 확인해봐야 할텐데  ,호흡기내과,겨드랑이 임프절염,  대 여성입니다 건강검진으로 유방초음파 보다가 왼쪽겨드랑이에 임파선이 부었다고 해서 총생검해서 괴사성육아종림프절염 이라는 결과를 받았습니다 결핵검사도 했는데 아닌걸로 나왔고 피검사도 정상입니다 크게 통증도 없었습니다 화이자 접종한지  개월 되었고 독감접종한지  개월 되었습니다 일주일 약 먹고 병원에서는 한달후 초음파보자고 하는데요  괴사성육아종림프절염은 무언가요  애매하게 말씀하셔서 이렇게 추적검사만 해도 되는지 걱정입니다,호흡기내과,임파선 결핵 어디 병원 가야하나요 ,큰병원에서 동네병원에 일주일에  번씩 소독받으라는데 어디로 가야하나요 이비인후과가면 될까요 ,호흡기내과
코로나 질문, 월   일에 코로나 확진 판정받고 자가격리도 이미 끝났는데요    인후통은 사라졌는데 기침이랑 가래가 안멈춰요 그리고 자가격리 전엔 안그랬는데 인후통 사라지고 나서 기침할땐 기침을 더 심하게 하고 쇳소리  같은것도 나는데 그냥 후유증인지 폐렴 증상인지 궁금해요   내공     드립니다   ,호흡기내과,빨리 알려주세요 급해요,제가 요즘 몸이 뜨거워지면서 숨이 안쉬어져요 그리고 숨쉴때 가끔씩 가슴이 아파옵니다 그래서 너무 괴로워요 화이자 접종  차만 맞은상태고  차를 맞게되면 어케될까 무서워요 근데 제가 집에 바퀴벌레가 나오는 꿈을 꿧어요  마리가 벽에 기어다니는꿈을 꿧는데 잡진않았어요 흉몽일까요 무서우 요,호흡기내과,폐결절에 관해 문의드립니다 ,    년도에 폐ct를 찍었고 아주 작은 싸이즈 하나  mm결절하나 이렇게 두개가 발생 하였습니디  일년후인     년 다시 ct를 찍었을때 두개다 싸이즈 변함 없었구요  년이 후     년  월 다시 ct를 찍었을때 작은것은 변함없고  mm였던 결절이  mm로 자란거 같다고  개월 후 다시 찍자고 하네요 대학병원이이나 큰병원이 아닌 일반 영상의학과에서 촬영만하고 판독 의사가 이렇게 얘기만 했습니다  그러면서 작년에 ct기계를 바꿨다는 얘기를 하면서 기계로 인해 좀더 크게 보일수도 있으니 일단  개월후에 찍자고만 하더라구요     시티 기계로 인해 약간에 오차가 생길 수 있나요      대부분 글을 보면 싸이즈가 작아서 지켜보는게 좋다 하는데 좀 불안한 마음이 들어서 큰병원 호흡기 내과로 가보는게 좋을까요 ,호흡기내과
코로나 증상,코로나 걸렸는데 어제랑 오늘 목 좀 아프고 기침하고 열은 살짝 있고 머리는 살짝 아파요 근데 이것도 코로나 증상이 맞죠    사람마다 증상이 다르나요    감기처럼 오는분들도 있죠 ,호흡기내과,급합니다    호흡질환 일반 내과  선별진료소 ,지금 신체적 증상이 있어서 병원에 내원해야 할 것 같은데 혹시 코로나일까  하는 생각에 고민이 되어 질문 올립니다   현재  목 간지러움으로 잦은 기침 자다가 숨이 컥 막히는 호흡곤란 증상 약간 메스꺼움 피로감 등 쪽이 살짝 으실거리는 느낌  이정도 증상이 있어서 내과로 가보려고 했는데 순간 코로나인가  하는 의심이 돼서요   발열 증세는 없는데 일반 내과와 선별진료소 방문 중 어디를 더 우선시로 가야할까요    ,호흡기내과,잠복결핵 약 복용중 A형간염 예방접종 가능한가요 ,튜비스투정 먹고있는데 예방접종 전에 여쭤보는걸 깜빡하고 접종받았어요   상관없나요 ,호흡기내과
코로나  관련,코로나바이러스는 잠복기를 거쳤다가 활동을 시작한다고 알고있는데  잠복기에도 코로나는 전염될수 있나요 ,호흡기내과,호흡곤란증상만 있는 천식도있나요   ,제목 그대로입니다    깊은숨을 쉬기가힘들어 폐기능검사를 받았는데 천식끼가 의심이된다고 애매하게 말씀을 해주셔서    다른 증상은 없는데 호흡이 재대로 안되니 정말 괴롭네요   답변부탁드립니다   ,호흡기내과,식도암일까요 ,    월 쯤에 엄청 뜨거운커피를 잘못마셔서 식도쪽이 엄청쓰라릴정도로 대였는데 그땐 흡연을 하고있었습니다 흡연할때 조차 목이 아팠습니다  목이너무 아파서  월쯤부터 금연했습니다  근데     월 이후부터 지금까지 목따가움이 있습니다  목따가움과 함께 요즘은 목이 계속 부어있어요  저녘되면 목이 아에잠기구요 피곤함도 자주느끼구요 이비인후과에서는 목이 조금 부어있는거라는데 그런거 치고는 너무  개월가량 넘 오래가는거같아서요 식도암일까요  아니면 그냥 인후두염일까요 ,호흡기내과
이거 뭔가요 ,오늘 자고 일어났더니 목소리가 엄청 잠겼고 쉬었다기 보다는 뭐가 걸린 느낌이였어요 그리고 그냥 있어도 이물감이 느껴지고 침이나 물을 삼키면 따갑고 칼칼해요 혹시 몰라서 사진 찍어놨어요 이 증상들이 코로나 증상은 아니겠죠   ,호흡기내과,코로나  백신 알레르기반응,안녕하세요 제가 고등학생인데 학원가려면 백신을 맞아야할것같습니다  그런데 제가 이전에 독감백신을 맞고 호흡곤란과 두통 어지럼증 구토가 있었습니다  조금 심각한 상태였는데 코로나  백신 접종해도 괜찮을까요    ,호흡기내과,목디스크 증상중에 대하여,목디스크가 있다고 합니다 그런데 요즘 가끔가다 가슴이 답답하고 숨쉬기고 좀 힘들때가 있는데요  목디스크가 있어도 이런증상이 나타나는지요 ,호흡기내과
폐렴 치료,코로나 양성이후로  주간 계속기침을하는데 폐렴이의심됩니다 병원 어느 과로 가야 검사할수잇을까요 약국에서 파는약으로도 치료가 가능한가요,호흡기내과,코로나 증상일 수도 있을까요  ,일주일 전 몇 달만에 크리스마스 기념으로 강남가서 놀았는데 지금 몸살 기운이 있어 연휴라 병원도 보건소도 휴무라 걱정되는 마음에 지식인에 질문 올립니다    어제 콧물이랑 가래가 끼기도 하고 기침 한 두번 정도 하긴 했는데 그냥 추운 날씨라 그런가 하고 아무렇지 않게 넘겼는데  갑자기 오늘 코로나 백신 때 맞은 후 느꼈던 어깨 쪽 근육통과  아침에 마름 기침 여러번   현재 오후는 안 합니다   그리고 가끔씩 가래가 끼기도 합니다  일단 씨유가서 판콜 사서 점심먹고 약 먹은 후에 자고 일어나니 어깨 쪽 근육통은 좀 사라졌지만   아직 근데 무거운 느낌은 들어요  목이 아예 나갔는데  목에 통증은 없습니다  코로나 증상이라고 봐도 될련지요    열은 전혀 안나고 계속  정상입니다  ,호흡기내과,폐 xray 질문합니다,오늘 찍었는데 왼쪽오른쪽 이 다른데 아무이상 없는거죠  의사는 아무이상없다는데,호흡기내과
